행정구역,연령구분,합계
__영통구(경기수원),65세이상,19142 
__영통구(경기수원),합계,340654 
___매탄1동(경기수원영통),0세~9세,1972 
___매탄1동(경기수원영통),10세~19세,2584 
___매탄1동(경기수원영통),20세~29세,3352 
___매탄1동(경기수원영통),30세~39세,3235 
___매탄1동(경기수원영통),40세~49세,3880 
___매탄1동(경기수원영통),50세~59세,3136 
___매탄1동(경기수원영통),60세~64세,942 
___매탄1동(경기수원영통),65세이상,1714 
___매탄1동(경기수원영통),합계,20815 
___매탄2동(경기수원영통),0세~9세,1389 
___매탄2동(경기수원영통),10세~19세,2146 
___매탄2동(경기수원영통),20세~29세,2569 
___매탄2동(경기수원영통),30세~39세,2449 
___매탄2동(경기수원영통),40세~49세,3122 
___매탄2동(경기수원영통),50세~59세,2808 
___매탄2동(경기수원영통),60세~64세,836 
___매탄2동(경기수원영통),65세이상,1522 
___매탄2동(경기수원영통),합계,16841 
___매탄3동(경기수원영통),0세~9세,4034 
___매탄3동(경기수원영통),10세~19세,5353 
___매탄3동(경기수원영통),20세~29세,6772 
___매탄3동(경기수원영통),30세~39세,6428 
___매탄3동(경기수원영통),40세~49세,7494 
___매탄3동(경기수원영통),50세~59세,5035 
___매탄3동(경기수원영통),60세~64세,1170 
___매탄3동(경기수원영통),65세이상,2180 
___매탄3동(경기수원영통),합계,38466 
___매탄4동(경기수원영통),0세~9세,2202 
___매탄4동(경기수원영통),10세~19세,3135 
___매탄4동(경기수원영통),20세~29세,3930 
___매탄4동(경기수원영통),30세~39세,4105 
___매탄4동(경기수원영통),40세~49세,4577 
___매탄4동(경기수원영통),50세~59세,3680 
___매탄4동(경기수원영통),60세~64세,1037 
___매탄4동(경기수원영통),65세이상,1819 
___매탄4동(경기수원영통),합계,24485 
___영통1동(경기수원영통),0세~9세,5071 
___영통1동(경기수원영통),10세~19세,5807 
___영통1동(경기수원영통),20세~29세,6572 
___영통1동(경기수원영통),30세~39세,7439 
___영통1동(경기수원영통),40세~49세,8576 
___영통1동(경기수원영통),50세~59세,5607 
___영통1동(경기수원영통),60세~64세,1081 
___영통1동(경기수원영통),65세이상,2141 
___영통1동(경기수원영통),합계,42294 
___영통2동(경기수원영통),0세~9세,6117 
___영통2동(경기수원영통),10세~19세,6756 
___영통2동(경기수원영통),20세~29세,6589 
___영통2동(경기수원영통),30세~39세,8892 
___영통2동(경기수원영통),40세~49세,9566 
___영통2동(경기수원영통),50세~59세,5923 
___영통2동(경기수원영통),60세~64세,1063 
___영통2동(경기수원영통),65세이상,2095 
___영통2동(경기수원영통),합계,47001 
___태장동(경기수원영통),0세~9세,6351 
___태장동(경기수원영통),10세~19세,7408 
___태장동(경기수원영통),20세~29세,10064 
___태장동(경기수원영통),30세~39세,9472 
___태장동(경기수원영통),40세~49세,10504 
___태장동(경기수원영통),50세~59세,7380 
___태장동(경기수원영통),60세~64세,1477 
___태장동(경기수원영통),65세이상,2438 
___태장동(경기수원영통),합계,55094 
___원천동(경기수원영통),0세~9세,2663 
___원천동(경기수원영통),10세~19세,2141 
___원천동(경기수원영통),20세~29세,4844 
___원천동(경기수원영통),30세~39세,5670 
___원천동(경기수원영통),40세~49세,3988 
___원천동(경기수원영통),50세~59세,2787 
___원천동(경기수원영통),60세~64세,840 
___원천동(경기수원영통),65세이상,1432 
___원천동(경기수원영통),합계,24365 
___광교1동(경기수원영통),0세~9세,6219 
___광교1동(경기수원영통),10세~19세,6632 
___광교1동(경기수원영통),20세~29세,6114 
___광교1동(경기수원영통),30세~39세,8700 
___광교1동(경기수원영통),40세~49세,9931 
___광교1동(경기수원영통),50세~59세,5218 
___광교1동(경기수원영통),60세~64세,1037 
___광교1동(경기수원영통),65세이상,1879 
___광교1동(경기수원영통),합계,45730 
___광교2동(경기수원영통),0세~9세,4086 
___광교2동(경기수원영통),10세~19세,2520 
___광교2동(경기수원영통),20세~29세,2666 
___광교2동(경기수원영통),30세~39세,5840 
___광교2동(경기수원영통),40세~49세,4315 
___광교2동(경기수원영통),50세~59세,3138 
___광교2동(경기수원영통),60세~64세,1076 
___광교2동(경기수원영통),65세이상,1922 
___광교2동(경기수원영통),합계,25563 
_성남시(경기),0세~9세,83011 
_성남시(경기),10세~19세,103689 
_성남시(경기),20세~29세,136760 
_성남시(경기),30세~39세,155275 
_성남시(경기),40세~49세,174460 
_성남시(경기),50세~59세,156827 
_성남시(경기),60세~64세,54814 
_성남시(경기),65세이상,109744 
_성남시(경기),합계,974580 
__수정구(경기성남),0세~9세,17089 
__수정구(경기성남),10세~19세,20171 
__수정구(경기성남),20세~29세,33312 
__수정구(경기성남),30세~39세,37635 
__수정구(경기성남),40세~49세,39149 
__수정구(경기성남),50세~59세,40031 
__수정구(경기성남),60세~64세,15376 
__수정구(경기성남),65세이상,30078 
__수정구(경기성남),합계,232841 
___신흥1동(경기성남수정),0세~9세,707 
___신흥1동(경기성남수정),10세~19세,987 
___신흥1동(경기성남수정),20세~29세,2136 
___신흥1동(경기성남수정),30세~39세,2250 
___신흥1동(경기성남수정),40세~49세,2435 
___신흥1동(경기성남수정),50세~59세,2842 
___신흥1동(경기성남수정),60세~64세,1012 
___신흥1동(경기성남수정),65세이상,2126 
___신흥1동(경기성남수정),합계,14495 
___신흥2동(경기성남수정),0세~9세,1529 
___신흥2동(경기성남수정),10세~19세,2298 
___신흥2동(경기성남수정),20세~29세,3057 
___신흥2동(경기성남수정),30세~39세,3176 
___신흥2동(경기성남수정),40세~49세,3840 
___신흥2동(경기성남수정),50세~59세,4041 
___신흥2동(경기성남수정),60세~64세,1541 
___신흥2동(경기성남수정),65세이상,2672 
___신흥2동(경기성남수정),합계,22154 
___신흥3동(경기성남수정),0세~9세,512 
___신흥3동(경기성남수정),10세~19세,798 
___신흥3동(경기성남수정),20세~29세,1672 
___신흥3동(경기성남수정),30세~39세,1665 
___신흥3동(경기성남수정),40세~49세,1955 
___신흥3동(경기성남수정),50세~59세,2058 
___신흥3동(경기성남수정),60세~64세,797 
___신흥3동(경기성남수정),65세이상,1633 
___신흥3동(경기성남수정),합계,11090 
___태평1동(경기성남수정),0세~9세,919 
___태평1동(경기성남수정),10세~19세,1260 
___태평1동(경기성남수정),20세~29세,2917 
___태평1동(경기성남수정),30세~39세,2967 
___태평1동(경기성남수정),40세~49세,2716 
___태평1동(경기성남수정),50세~59세,3052 
___태평1동(경기성남수정),60세~64세,1230 
___태평1동(경기성남수정),65세이상,2555 
___태평1동(경기성남수정),합계,17616 
___태평2동(경기성남수정),0세~9세,976 
___태평2동(경기성남수정),10세~19세,1555 
___태평2동(경기성남수정),20세~29세,2476 
___태평2동(경기성남수정),30세~39세,2303 
___태평2동(경기성남수정),40세~49세,2991 
___태평2동(경기성남수정),50세~59세,3003 
___태평2동(경기성남수정),60세~64세,1121 
___태평2동(경기성남수정),65세이상,2350 
___태평2동(경기성남수정),합계,16775 
___태평3동(경기성남수정),0세~9세,946 
___태평3동(경기성남수정),10세~19세,1380 
___태평3동(경기성남수정),20세~29세,2102 
___태평3동(경기성남수정),30세~39세,2099 
___태평3동(경기성남수정),40세~49세,2614 
___태평3동(경기성남수정),50세~59세,2767 
___태평3동(경기성남수정),60세~64세,1008 
___태평3동(경기성남수정),65세이상,2079 
___태평3동(경기성남수정),합계,14995 
___태평4동(경기성남수정),0세~9세,1134 
___태평4동(경기성남수정),10세~19세,1672 
