순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
7302,진안5통.병점육교,12701.825,3712.524,202703.6167,412181.2817,233000696,36336
7303,한일타운아파트,12702.253,3712.015,203337.0933,411239.1323,233000097,36348
7304,한증막,12704.806,3710.493,207116.7902,408427.1056,233000955,36423
7305,상록골프장,12708.046,3712.188,211904.1614,411563.7217,233000969,36504
7306,상록골프장,12708.041,3712.194,211901.1612,411576.7215,233000970,36503
7307,호반베르디움3차,12706.846,3710.764,210135.3974,408931.8199,233000126,55402
7308,금강.센트럴힐즈,12706.539,3710.886,209679.9816,409156.6544,233000124,55400
7309,모아.반도아파트,12706.873,3712.123,210172.5703,411444.9271,233000980,36459
7310,동탄2부영아파트,12706.952,3712.322,210289.2666,411812.4366,233000981,36434
7311,금곡2리,12704.682,3711.017,206931.5446,409396.0813,233000956,36412
7312,하사리,12638.124,3741.992,167849.7216,466752.347,232000267,35141
7313,중계소,12638.21,3742.365,167979.47,467443.4065,232000266,35146
7314,양능,12638.137,3739.814,167853.3327,462723.5672,232000240,35143
7315,효병원.국민은행.축협,12642.373,3737.63,174070.2008,458661.8531,232000033,35241
7316,신화아파트.삼환아파트,12642.165,3737.499,173763.0037,458419.8743,232000040,35231
7317,송산1리,12659.172,3706.33,198776.6869,400724.4738,233000014,36255
7318,용소2리,12658.689,3704.748,198058.4876,397791.6093,233000010,36198
7319,용소4리,12658.909,3705.092,198385.3052,398433.3455,233000008,36224
7320,수직리,12659.472,3707.401,199223.4009,402704.5893,233000040,37347
7321,갈천리,12658.618,3707.492,197951.4081,402876.5678,233000038,37335
7322,길성리,12658.449,3707.491,197705.059,402870.7483,233000037,37333
7323,대우3차아파트.궐동,12704.031,3709.466,205970.589,406526.4139,223000122,24095
7324,남촌오거리,12703.711,3709.024,205496.8511,405708.1711,223000116,24069
7325,제일아파트.대호중학교,12703.299,3709.619,204887.5015,406808.1294,223000112,24047
7326,오산성당.청학동,12703.493,3709.107,205174.2567,405862.3081,223000108,24051
7327,미산동입구.한덕판지,12647.354,3725.038,181345.5696,435349.51,224000593,25384
7328,영각사입구,12648.243,3721.426,182643.6719,428664.7969,224000581,25478
7329,대쟁이,12647.942,3721.024,182197.3875,427923.28,217000009,18147
7330,녹원아파트,12647.271,3720.595,181203.9891,427131.435,224000580,25367
7331,동남아파트,12643.135,3721.26,175092.1871,428373.0016,224000578,25067
7332,시화공고사거리,12644.952,3720.631,177778.1838,427201.0537,224000564,25237
7333,순복음교회,12644.918,3720.463,177726.1891,426892.0554,224000563,25235
7334,시흥관광호텔.시화초교,12645.003,3720.292,177856.1931,426573.0601,224000562,25240
7335,유천아파트,12645.156,3720.234,178070.1931,426462.0644,224000560,25247
7336,시흥관광호텔.시화초교,12645.023,3720.31,177877.1923,426610.0601,224000559,25242
7337,남양성지,12648.962,3712.457,183672.9004,412073.2202,233000767,36014
7338,남양육리.남양1동,12648.058,3712.239,182334.6514,411672.2273,233000765,36007
7339,두곡리,12646.99,3712.332,180753.8636,411847.9738,233000764,37109
7340,재래시장.마도삼거리,12646.848,3712.38,180543.6597,411937.3636,233000763,37108
7341,삼존리자동차성능시험장,12645.631,3712.648,178745.0584,412437.5716,233000759,37100
7342,사강복지회관,12643.958,3712.772,176270.2547,412672.615,233000271,37081
7343,사창1리,12658.277,3705.626,197449.9204,399422.3301,233000030,36165
